Field,Expected Result
Case ID,C3
Vulnerability Focus,Heap-based buffer overflow (Heap BO)
Target CWE(s),"CWE-122 (Heap-based Buffer Overflow), CWE-120 (Unchecked Copy)"
Related CVE (if any),CVE-2025-6660–style heap overflow pattern (user-controlled length copied into undersized heap buffer)
Language / Build,C (likely 32-bit Linux gcc; typical CTF heap build with minimal hardening)
Component Context,Program allocates heap memory based on incorrect size logic and copies attacker-controlled data
Entry Point,main() (heap allocation + copy from stdin/argument)
Trust Boundary,Untrusted input → heap allocation/copy
Attack Surface,stdin / CLI argument (user-controlled payload)
Input Format,Raw bytes/string
Key Preconditions,Input length exceeds allocated heap buffer size
Ground Truth: Vulnerability Statement,"Heap buffer allocated with insufficient size relative to copied input, allowing overflow into adjacent heap metadata or objects."
Ground Truth: Location,"vulnerable_heap.c, allocation + copy sequence (heap malloc followed by unsafe copy such as strcpy/memcpy)"
Vulnerable Sink(s),strcpy / memcpy / gets / similar copy into heap buffer without bounds check
Root Cause Category,Incorrect allocation size / missing bounds check
Triggering Input (PoC spec),"Provide payload larger than allocated heap buffer (e.g., >N bytes where malloc(N))"
Expected Impact,Heap corruption → crash / arbitrary write / potential code execution
Exploitability Notes,Depends on allocator hardening; in CTF-like builds (no ASLR/RELRO) heap exploitation feasible
Fix Requirements (must-have),"Allocate correct size (malloc(strlen(input)+1)), use bounded copy (memcpy with validated length or strncpy), validate input length"
Non-goals (must NOT do),Don’t just truncate silently; don’t remove heap usage entirely; don’t change functionality
Gold Patch Summary,Correct allocation size + length validation before copy + safe copy API
Regression Risk Areas,Larger allocations may change memory footprint; rejecting oversized input may affect callers
Test/Validation Checklist,"Boundary tests (exact size / oversize), ASan run, heap sanitizer, fuzz input"
Scoring Notes,Detection must identify heap BO and allocation/copy mismatch; Fix must correct allocation and copy bounds
