Model,Prompt,Avg Time (s),Time Score,Detection,Analysis, Proposed Fix,Practicality,Final Score,Notes
"Chat-GPT5.2
(Thinking)",A,73.13,1.6,8.2,7.4,6.9,7,70.35,"Slowest model, lowest overall. Overcomplicated fixes, vague analysis"
"Chat-GPT5.1
(Thinking)",A,63.71,1.9,8.4,7.9,6.6,7.6,72.7,"Slow, frequently changed code functionality. Good detection but poor fixes"
Deepseek,A,17.9,3.7,6.8,8.3,8.1,7.8,76.35,"Second fastest, most consistent (σ=4.8). Weakest detection but decent fixes"
Deepseek (DeepThink),A,64.57,2.1,8.4,8.7,8.3,9.2,81.35,"Highest practicality, but 5x slower than Gemini. Best on Ret2win (89.5) & Stack (88.5)"
Claude Sonnet 4.6,A,48.1,2.33,8.56,8,7.78,7.89,77.61,"1 FAIL (C1 timeout), 9 valid runs. Strong detection but weaker fixes. React artifact format issues"
Claude Opus 4.6,A,33.29,2.7,8,8.8,8.3,8.6,80.65,"Balanced across all categories. Best on Stack (89.8), weakest on CVE-6660 (75.2)"
Gemini 3 (Thinking),A,12.77,4.3,8.3,9.2,7.9,8.7,84.7,"Fastest overall, strongest analysis. Struggled most on Heap (74.0)"
Gemini 3 (Thinking),B,33.6,2.9,8.7,9.2,8.3,8.6,84.05,"Highest overall on Prompt B. Fastest of the three, with the strongest analysis and very balanced scoring across all categories."
Claude Opus 4.6,B,76.7,1.4,8.3,9.2,8.7,8.2,80.15,"Strong second overall. Performed especially well in analysis and proposed fixes, but was notably slower than Gemini."
Deepseek (DeepThink),B,179.2,0.4,7.5,8.1,8,8.9,72.85,"Lowest overall on Prompt B. Good practicality, but much slower than the others and weaker in detection, which pulled down its final score."
