Model,Case,Time (s),Time (score),Detection,Analysis,Fix,Practicality,Final Score,Notes,,,
Gemini 3 (Thinking),G3_A_C2_R2,11.26,5,8,8,10,10,90,"Fast,correct,simple",,,
Gemini 3 (Thinking),G3_A_C4_R2,11.8,5,9,8,8,9,86.5,"Fast,easy,precise",,,
Gemini 3 (Thinking),G3_A_C1_R2,11.81,5,7,9,9,9,85,"Very fast, good identification but complicated fix",,,
Gemini 3 (Thinking),G3_A_C4_R1,12.26,4,9,9,8,9,86.5,good analysis and easy perfect fix,,,
Gemini 3 (Thinking),G3_A_C2_R1,12.27,4,9,9,7,9,84,"perfect explaination, forgot to mention a fix",,,
Gemini 3 (Thinking),G3_A_C5_R2,12.38,4,8,9,8,8,82,Good overall,,, 
Gemini 3 (Thinking),G3_A_C1_R1,12.41,4,7,10,9,9,85,Medium fix Mentioned  canaries and ASLR,,,
Deepseek,DS_A_C2_R1,12.44,4,8,9,8,8,82,"Fast, consise response",,,
Gemini 3 (Thinking),G3_A_C3_R2,13.14,4,7,10,5,6,70.5,Over complicated patch,,,
Deepseek,DS_A_C1_R2,13.82,4,7,9,9,7,80,"Very Fast, less practical fix proposition",,,
Deepseek,DS_A_C5_R1,14.76,4,7,8,8,7,75.5,"simple detection,good analysis, ccomplicated fix",,,
Gemini 3 (Thinking),G3_A_C3_R1,14.81,4,9,9,5,8,77.5,Fix not practical and loss of functionality,,,
"Chat-GPT5.1
(Thinking)",GPT5.1T_A_C2_R1,14.99,4,9,6,6,8,74,"Fast but modifies the functionality, vague rootcause",,,
Deepseek,DS_A_C1_R1,15.42,4,7,9,9,9,83,"Fast, consise response with low token count",,,
Gemini 3 (Thinking),G3_A_C5_R1,15.57,4,9,8,10,10,91,Perfect fix with explainations and good analysis,,,
Deepseek,DS_A_C4_R2,15.66,4,7,8,8,9,78.5,"Function patch, no change code function, good analysis",,,
Deepseek,DS_A_C2_R2,15.83,4,7,8,8,8,77,"Double Fix proposition, optional added security",,,
Deepseek,DS_A_C5_R2,16.06,4,7,8,8,7,75.5,"simple detection, Good analysis,",,,
Claude Opus 4.6,CO4.6_A_C1_R1,20.25,3,9,10,9,9,89,perfect analysis with exemple payload,,,
Claude Sonnet 4.6,CS4.6_A_C5_R2,20.58,3,8,7,9,10,81.5,"almost perfect fix, no added complexity",,,
Claude Sonnet 4.6,CS4.6_A_C5_R1,21.03,3,9,8,10,10,89,"Exelent detection, perfect fix no added libraries",,,
Claude Opus 4.6,CO4.6_A_C5_R2,21.07,3,9,8,8,9,82.5,not perfect but overall very good,,,
Deepseek,DS_A_C3_R2,21.39,3,6,8,8,7,70.5,Long Fix but keeps logic,,,
Claude Opus 4.6,CO4.6_A_C1_R2,23.06,3,9,10,9,10,90.5,"Perfect Detection,analysis with ofensive aspects",,,
Deepseek,DS_A_C3_R1,25.19,3,6,8,6,9,68.5,"kept original structure, bad detection, 2 fixes",,,
Claude Opus 4.6,CO4.6_A_C3_R1,25.82,3,7,8,9,9,79,"missing detection, very good and practical fix",,,
Deepseek,DS_A_C4_R1,28.44,3,6,8,9,7,73,"Vague analysis, proposed 2 fixes, simple and hardend",,,
Deepseek (DeepThink),DST_A_C2_R1,28.69,3,10,9,10,10,94,"Fast, perfect fix, precise",,,
Claude Opus 4.6,CO4.6_A_C2_R2,29.63,3,7,8,8,9,76.5,limited detection and changed code,,,
Claude Opus 4.6,CO4.6_A_C2_R1,32.72,3,8,9,8,8,80,"good analysis,changed code",,,
"Chat-GPT5.2
(Thinking)",GPT5.2T_A_C2_R1,33.79,3,8,7,7,7,72,"Overanalysis, modified function",,,
Claude Sonnet 4.6,CS4.6_A_C4_R2,33.86,3,7,8,8,8,75,"limited detection, complicated analysis",,,
Claude Sonnet 4.6,CS4.6_A_C1_R1,33.88,3,9,9,6,8,78,"Best offensive tips, exemple payload",,,
Deepseek (DeepThink),DST_A_C2_R2,34.23,3,7,9,10,10,85,"Mildly slow, perfect fix",,,
"Chat-GPT5.1
(Thinking)",GPT5.1T_A_C5_R1,34.9,3,7,7,5,6,62.5,"Overcomplicated fix, overdetect false positives",,,
Deepseek (DeepThink),DST_A_C1_R2,36.42,3,9,10,9,10,90.5,"Mildly slow, Perfect results simple fix",,,
Claude Sonnet 4.6,CS4.6_A_C4_R1,36.57,3,8,6,8,6,71,"OverComplicated fix, changed logic, limited analysis",,,
Claude Sonnet 4.6,CS4.6_A_C1_R2,36.73,0,0,0,0,0,0,FAIL,,,
Deepseek (DeepThink),DST_A_C4_R2,37.67,3,8,9,8,9,81.5,"Great fix, detailed analysis and impact",,,
Deepseek (DeepThink),DST_A_C5_R2,38.91,3,7,9,8,8,77,"Great analysis, performance impact fix",,,
Claude Opus 4.6,CO4.6_A_C4_R1,39.84,3,7,8,9,9,79,"bad detection and analysis, good fix",,,
Claude Sonnet 4.6,CS4.6_A_C2_R1,40.1,2,8,10,7,8,77.5,"offensive, added hardening. Change structure",,,
Claude Opus 4.6,CO4.6_A_C4_R2,40.2,2,7,8,8,7,71.5,mediocre overall,,,
"Chat-GPT5.2
(Thinking)",GPT5.2T_A_C2_R2,43.54,2,8,9,7,8,75.5,Slow and changed code function ,,,
"Chat-GPT5.2
(Thinking)",GPT5.2T_A_C3_R2,48.51,2,8,7,9,8,76.5,"Overannalysis, Focused on shell",,,
Claude Opus 4.6,CO4.6_A_C5_R1,48.8,2,9,9,9,8,83.5,"Good detection and analysis, good fix ",,,
Deepseek (DeepThink),DST_A_C3_R2,49.18,2,9,4,7,7,67,"perfect detection, changed code logic and complicated it ",,,
Deepseek (DeepThink),DST_A_C5_R1,49.2,2,8,9,8,9,79.5,"weak Detection, good analysis and practical fix",,,
Claude Sonnet 4.6,CS4.6_A_C2_R2,50.21,2,9,8,7,7,75,"Overly complicated fix,",,,
"Chat-GPT5.1
(Thinking)",GPT5.1T_A_C2_R2,51.1,2,9,7,5,7,68,slow and changed code function,,,
Claude Opus 4.6,CO4.6_A_C3_R2,51.46,2,8,10,6,8,75,"Example offensive exploit, kept blacklist and complex fix",,,
"Chat-GPT5.2
(Thinking)",GPT5.2T_A_C5_R1,56.02,2,8,7,5,6,63.5,"Overanalysis, overcomplicated fix ",,,
"Chat-GPT5.1
(Thinking)",GPT5.1T_A_C3_R2,57.25,2,9,6,7,7,71,"changed code, bad analysis",,,
"Chat-GPT5.1
(Thinking)",GPT5.1T_A_C4_R2,61.32,2,8,9,8,8,78,"missed integer issue, perfect analysis changed code function",,,
"Chat-GPT5.2
(Thinking)",GPT5.2T_A_C1_R1,63.25,2,9,9,7,6,75.5,Slow with too complicated patch,,,
"Chat-GPT5.1
(Thinking)",GPT5.1T_A_C3_R1,68.12,2,8,9,7,10,78.5,"kept code logic, overannalysed code",,,
"Chat-GPT5.2
(Thinking)",GPT5.2T_A_C1_R2,72.81,1,9,9,7,8,76.5,Slow and changed code function ,,,
Deepseek (DeepThink),DST_A_C1_R1,73.21,1,9,10,9,10,86.5,Slow but very presise and good easy fix,,,
Deepseek (DeepThink),DST_A_C4_R1,75.2,1,8,9,8,9,77.5,"weak detection, good analysis and easy fix",,,
"Chat-GPT5.1
(Thinking)",GPT5.1T_A_C1_R1,78.34,1,9,9,7,8,76.5,slow and changed code function,,,
"Chat-GPT5.1
(Thinking)",GPT5.1T_A_C5_R2,78.89,1,7,9,7,7,69,"Overdetection, good analysis, complex fix",,,
"Chat-GPT5.2
(Thinking)",GPT5.2T_A_C5_R2,82.1,1,8,6,6,6,62,"Overdetection, bad analysis, overcomplex fix ",,,
